budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.04207897977473338,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,stop,0.04207897977473338,1.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
2.0,add,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
3.0,add,0.04207897977473339,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
4.0,add,0.04207897977473342,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,1.0,0.0
5.0,add,-0.0972217960662451,1.0,1.0,0.04207897977473338,4.0,0.0,1.0,0.0,0.0
6.0,add,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
7.0,add,0.04207897977473342,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
8.0,add,0.042078979774733405,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
9.0,add,0.17440024413150867,1.0,1.0,0.04207897977473338,4.0,0.0,1.0,0.0,0.0
10.0,add,0.04207897977473342,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,1.0,0.0
11.0,add,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
12.0,add,0.04207897977473342,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,1.0,0.0
13.0,add,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
14.0,add,0.12872948506720092,1.0,1.0,0.04207897977473338,4.0,0.0,1.0,0.0,0.0
15.0,add,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
16.0,add,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
17.0,add,0.042078979774733405,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,1.0,0.0
18.0,add,-0.1612563511245564,1.0,1.0,0.04207897977473338,4.0,0.0,1.0,0.0,0.0
19.0,add,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
20.0,delete,0.28482178217269094,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
21.0,delete,0.2848217821726909,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
22.0,delete,-0.13563389586980037,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
23.0,delete,-0.13563389586980043,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
24.0,swap,0.28482178217269094,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,1.0,0.0
25.0,swap,0.28482178217269094,1.0,1.0,0.04207897977473338,3.0,1.0,0.0,0.0,0.0
26.0,swap,0.2116322631833411,1.0,1.0,0.04207897977473338,3.0,0.0,1.0,0.0,0.0
27.0,swap,-0.07084399065079318,1.0,1.0,0.04207897977473338,3.0,1.0,0.0,0.0,0.0
28.0,swap,-0.13563389586980043,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,1.0
29.0,swap,0.28482178217269083,1.0,1.0,0.04207897977473338,3.0,1.0,0.0,0.0,0.0
30.0,swap,-0.2406696934593976,1.0,1.0,0.04207897977473338,3.0,0.0,1.0,0.0,0.0
31.0,swap,-0.13563389586980037,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,1.0
32.0,swap,-0.13563389586980035,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,1.0,0.0
33.0,swap,-0.1356338958698004,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,1.0,0.0
34.0,swap,0.28482178217269094,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,1.0
35.0,swap,0.5606551110467755,1.0,1.0,0.04207897977473338,3.0,0.0,1.0,0.0,0.0
36.0,swap,-0.08085407090030461,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,1.0
37.0,swap,0.2848217821726909,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,1.0,0.0
38.0,swap,-0.1356338958698004,1.0,1.0,0.04207897977473338,3.0,1.0,0.0,0.0,0.0
39.0,swap,0.3201388512826135,1.0,1.0,0.04207897977473338,3.0,0.0,1.0,0.0,0.0
39.0,stop,0.04207897977473338,2.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
39.0,stop,0.04207897977473338,3.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
39.0,stop,0.04207897977473338,4.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
40.0,stop,0.28482178217269094,5.0,1.0,0.28482178217269094,3.0,0.0,0.0,0.0,0.0
41.0,add,0.28482178217269094,5.0,2.0,0.28482178217269094,3.0,0.0,0.0,0.0,1.0
42.0,add,0.28482178217269094,5.0,2.0,0.28482178217269094,3.0,0.0,0.0,1.0,0.0
43.0,add,0.28482178217269094,5.0,2.0,0.28482178217269094,3.0,1.0,0.0,0.0,0.0
44.0,add,0.28482178217269094,5.0,2.0,0.28482178217269094,3.0,0.0,0.0,0.0,1.0
45.0,add,0.28482178217269094,5.0,2.0,0.28482178217269094,3.0,1.0,0.0,0.0,0.0
46.0,add,-0.17894757144338067,5.0,2.0,0.28482178217269094,3.0,0.0,0.0,0.0,1.0
47.0,add,0.28482178217269094,5.0,2.0,0.28482178217269094,3.0,0.0,0.0,0.0,1.0
48.0,add,0.2848217821726909,5.0,2.0,0.28482178217269094,3.0,0.0,0.0,1.0,0.0
49.0,add,0.2642531752142337,5.0,2.0,0.28482178217269094,3.0,0.0,1.0,0.0,0.0
50.0,add,-0.08085407090030462,5.0,2.0,0.28482178217269094,3.0,0.0,0.0,0.0,1.0
51.0,add,0.2848217821726909,5.0,2.0,0.28482178217269094,3.0,1.0,0.0,0.0,0.0
52.0,add,-0.131341561012399,5.0,2.0,0.28482178217269094,3.0,1.0,0.0,0.0,0.0
53.0,add,-0.19793462151528757,5.0,2.0,0.28482178217269094,3.0,0.0,1.0,0.0,0.0
54.0,add,0.06785581830983703,5.0,2.0,0.28482178217269094,3.0,0.0,1.0,0.0,0.0
55.0,add,0.284821782172691,5.0,2.0,0.28482178217269094,3.0,0.0,0.0,1.0,0.0
56.0,add,-0.0808540709003046,5.0,2.0,0.28482178217269094,3.0,0.0,0.0,0.0,1.0
57.0,add,0.28482178217269094,5.0,2.0,0.28482178217269094,3.0,0.0,0.0,1.0,0.0
58.0,add,0.2992756775605031,5.0,2.0,0.28482178217269094,3.0,0.0,1.0,0.0,0.0
59.0,delete,-0.015824144146880895,5.0,2.0,0.28482178217269094,2.0,0.0,0.0,0.0,0.0
60.0,delete,-0.060574287960367845,5.0,2.0,0.28482178217269094,2.0,0.0,0.0,0.0,0.0
61.0,delete,0.3512881771660213,5.0,2.0,0.28482178217269094,2.0,0.0,0.0,0.0,0.0
62.0,swap,-0.060574287960367845,5.0,2.0,0.28482178217269094,2.0,0.0,0.0,0.0,1.0
63.0,swap,-0.015824144146880895,5.0,2.0,0.28482178217269094,2.0,1.0,0.0,0.0,0.0
64.0,swap,-0.06057428796036787,5.0,2.0,0.28482178217269094,2.0,0.0,0.0,1.0,0.0
65.0,swap,-0.01372625078134343,5.0,2.0,0.28482178217269094,2.0,0.0,1.0,0.0,0.0
66.0,swap,0.5059644929982328,5.0,2.0,0.28482178217269094,2.0,1.0,0.0,0.0,0.0
67.0,swap,-0.015824144146880895,5.0,2.0,0.28482178217269094,2.0,0.0,0.0,0.0,1.0
68.0,swap,-0.01582414414688091,5.0,2.0,0.28482178217269094,2.0,0.0,0.0,1.0,0.0
69.0,swap,0.16188873149765293,5.0,2.0,0.28482178217269094,2.0,0.0,0.0,0.0,1.0
70.0,swap,0.23041616650492075,5.0,2.0,0.28482178217269094,2.0,0.0,1.0,0.0,0.0
71.0,swap,-0.10858319418277033,5.0,2.0,0.28482178217269094,2.0,0.0,1.0,0.0,0.0
72.0,swap,0.35128817716602123,5.0,2.0,0.28482178217269094,2.0,0.0,0.0,1.0,0.0
