budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.873597849947558,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,stop,0.873597849947558,1.0,1.0,0.873597849947558,4.0,0.0,0.0,0.0,0.0
2.0,add_cx,0.873597849947558,1.0,1.0,0.873597849947558,4.0,0.0,0.0,0.0,1.0
3.0,add_rx,0.873597849947558,1.0,1.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
4.0,add_ry,0.5858969729478527,1.0,1.0,0.873597849947558,4.0,0.0,1.0,0.0,0.0
5.0,add_rz,0.8684525127287878,1.0,1.0,0.873597849947558,4.0,0.0,0.0,1.0,0.0
6.0,delete,0.2677858814627575,1.0,1.0,0.873597849947558,3.0,0.0,0.0,0.0,0.0
7.0,stop,0.873597849947558,2.0,2.0,0.873597849947558,4.0,0.0,0.0,0.0,1.0
8.0,add_cx,0.873597849947558,2.0,2.0,0.873597849947558,4.0,0.0,0.0,0.0,2.0
9.0,add_rx,0.8735978499475598,2.0,2.0,0.873597849947558,4.0,1.0,0.0,0.0,1.0
10.0,add_ry,0.8411531860026039,2.0,2.0,0.873597849947558,4.0,0.0,1.0,0.0,1.0
11.0,add_rz,0.8684525127287878,2.0,2.0,0.873597849947558,4.0,0.0,0.0,1.0,1.0
12.0,delete,0.2677858814627575,2.0,2.0,0.873597849947558,3.0,0.0,0.0,0.0,1.0
13.0,stop,0.873597849947558,3.0,2.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
14.0,add_cx,0.873597849947558,3.0,2.0,0.873597849947558,4.0,1.0,0.0,0.0,1.0
15.0,add_rx,0.873597849947558,3.0,2.0,0.873597849947558,4.0,2.0,0.0,0.0,0.0
16.0,add_ry,0.7277481240658789,3.0,2.0,0.873597849947558,4.0,1.0,1.0,0.0,0.0
17.0,add_rz,0.8684525127287878,3.0,2.0,0.873597849947558,4.0,1.0,0.0,1.0,0.0
18.0,delete,0.2677858814627581,3.0,2.0,0.873597849947558,3.0,1.0,0.0,0.0,0.0
18.0,stop,0.873597849947558,4.0,1.0,0.873597849947558,4.0,0.0,0.0,0.0,0.0
19.0,stop,0.8684525127287878,5.0,2.0,0.8684525127287878,4.0,0.0,0.0,1.0,0.0
20.0,add_cx,0.866164230387068,5.0,2.0,0.8684525127287878,4.0,0.0,0.0,1.0,1.0
21.0,add_rx,0.8684525127287896,5.0,2.0,0.8684525127287878,4.0,1.0,0.0,1.0,0.0
22.0,add_ry,0.18518613609432394,5.0,2.0,0.8684525127287878,4.0,0.0,1.0,1.0,0.0
23.0,add_rz,0.8532479788325802,5.0,2.0,0.8684525127287878,4.0,0.0,0.0,2.0,0.0
