budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.04207897977473338,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,stop,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
2.0,add_cx,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
3.0,add_cx,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
4.0,add_cx,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
5.0,add_cx,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
6.0,add_cx,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
7.0,add_cx,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
8.0,add_rx,0.04207897977473339,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
9.0,add_rx,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
10.0,add_rx,0.04207897977473342,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
11.0,add_rx,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
12.0,add_ry,0.02566462846003878,1.0,1.0,0.04207897977473338,4.0,0.0,1.0,0.0,0.0
13.0,add_ry,0.00853796926835794,1.0,1.0,0.04207897977473338,4.0,0.0,1.0,0.0,0.0
14.0,add_ry,-0.0764748367220004,1.0,1.0,0.04207897977473338,4.0,0.0,1.0,0.0,0.0
15.0,add_ry,0.06570059709610875,1.0,1.0,0.04207897977473338,4.0,0.0,1.0,0.0,0.0
16.0,add_rz,0.04207897977473336,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,1.0,0.0
17.0,add_rz,0.04207897977473342,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,1.0,0.0
18.0,add_rz,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,1.0,0.0
19.0,add_rz,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,1.0,0.0
20.0,delete,-0.13563389586980043,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
21.0,delete,-0.13563389586980037,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
